"X.1","X","name","album","release_date","track_number","id","acousticness","danceability","energy","instrumentalness","liveness","loudness","speechiness","tempo","valence","popularity","duration_ms"
140,139,"Jump Then Fall (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",14,"2m3ObD945KvpE5y9A1eUWm",0.0474,0.572,0.69,0,0.0897,-6.201,0.0358,160.111,0.624,59,237580
142,141,"Forever & Always (Piano Version) (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",16,"01QdEx6kFr78ZejhQtWR5m",0.819,0.546,0.273,0,0.137,-9.208,0.0308,118.753,0.271,59,267833
146,145,"Today Was A Fairytale (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",20,"2JoJrsEV15OzbijS47lids",0.0135,0.482,0.779,0,0.296,-5.025,0.0409,158.162,0.328,59,241822
149,148,"We Were Happy (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)","2021-04-09",23,"34V9RiEPe8MNdU32qJsJa1",0.849,0.609,0.373,0,0.0779,-8.819,0.0263,106.007,0.13,59,244236
152,151,"Bye Bye Baby (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)","2021-04-09",26,"4qUijfYU8EoIWiY6oSyrgT",0.334,0.624,0.624,0,0.0995,-7.86,0.0539,80.132,0.527,59,242157
692,691,"I Knew You Were Trouble.","Red","2012-10-22",4,"72jCZdH0Lhg93z6Z4hBjgj",0.00454,0.622,0.469,2.25e-06,0.0398,-6.798,0.0363,77.019,0.679,59,217973
879,878,"Dear John","Speak Now","2010-10-25",5,"3K2es3gElMRJ3qvmPW442g",0.183,0.583,0.468,1.65e-06,0.111,-5.378,0.0278,119.375,0.126,59,403933
138,137,"The Best Day (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",12,"6ON9UuIq49xXY9GPmHIYRp",0.488,0.642,0.576,0,0.159,-8.524,0.0282,125,0.469,58,245290
147,146,"You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault)","Fearless (Taylor's Version)","2021-04-09",21,"4CHpVfAhuxNJ3ibExe6kxO",0.816,0.599,0.494,0,0.101,-7.61,0.0372,142.893,0.44,58,220839
166,165,"closure","evermore (deluxe version)","2021-01-07",14,"6a8aUhYbaQBUI8PcJ5ZmQ6",0.835,0.689,0.704,4.83e-06,0.134,-10.813,0.245,151.884,0.92,58,180653
634,633,"I Know Places","1989 (Deluxe Edition)","2014-10-27",12,"2zfgVd034GlUvk7LqBHl6u",0.245,0.602,0.755,0,0.178,-4.991,0.071,159.965,0.495,58,195706
690,689,"Red","Red","2012-10-22",2,"0cITLOYn1Sv4q27zZPqlNK",0.0773,0.602,0.896,8.87e-05,0.091,-4.267,0.0437,124.978,0.641,58,220826
712,711,"We Are Never Ever Getting Back Together","Red (Deluxe Edition)","2012-10-22",8,"6kISMRfweKSvgHR0urMQFG",0.00957,0.628,0.676,2.65e-05,0.121,-5.911,0.0916,85.984,0.75,58,193146
873,872,"Last Kiss","Speak Now","2010-10-25",13,"4h0EXpatqJImv4VRgvX6po",0.57,0.371,0.341,3.09e-05,0.101,-9.475,0.0319,89.038,0.196,58,367133
87,86,"Ronan (Taylor's Version)","Red (Taylor's Version)","2021-11-12",21,"7nWui6jiMM2m9qFmET1Mtj",0.661,0.623,0.279,0,0.193,-10.802,0.031,116.04,0.38,57,264253
139,138,"Change (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",13,"3ExweHKZF9B752DPQByRVT",0.000191,0.499,0.815,0,0.181,-4.063,0.0341,95.999,0.344,57,279359
143,142,"Come In With The Rain (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",17,"1n2wszmJyVkw6FHqyLnQsY",0.0406,0.476,0.564,0,0.102,-5.677,0.0269,143.929,0.167,57,237338
710,709,"22","Red (Deluxe Edition)","2012-10-22",6,"3WC5CVAahvn98hiseoIvbw",0.00215,0.661,0.729,0.0013,0.0477,-6.561,0.0376,103.987,0.668,57,232120
872,871,"Haunted","Speak Now","2010-10-25",12,"28M2gifMU282QBM3fKajIS",0.0826,0.436,0.95,1.08e-06,0.149,-2.627,0.057,162.088,0.352,57,242080
144,143,"Superstar (Taylor’s Version)","Fearless (Taylor's Version)","2021-04-09",18,"51A8eKvvZz9uydvIZ7xRSV",0.157,0.454,0.555,0,0.343,-6.69,0.0283,171.862,0.171,56,263865
